video_id,comments
pT3kE5hExGc,"['Hi Professor, How are you. once you taught how to perform bioinformatics and discover a drug molecule for a disease (5 experiments). Do you know how we can check the two or more molecules interactions as drugs are generally combination of many molecules..Please reply or guide.', 'Could you please make video on protein mutation prediction server development like polyphen2, mutation assesser SNAP2', ""without using a paid open AI API key we can't even participate that's very unfair :)"", 'Pretty sure I will not even have those socks but still awesome hahaha', 'This sounds great !', 'Discord link is not working, can you check or is there any other way??', ""The AI voice doesn't work for me."", 'Feet socks?', 'Socks mean?']"
T_iE6TT7pS8,"['Great idea for my next project. Thanks a lot, Chanin ❤❤❤❤', 'Hey, i am working on my personal project, which detects AI generated content ( tells in %age, how much input is human generated)  I am confused, and really seeking help, to know how to achieve this, like what to train my model on? I am also taking into account perplexity for better detection!', 'Great video. Can you please make a video on how can I integrate Flowise chatbots into a Streamlit web app.', 'How can I use my own data in the chat bot you built using Hugging Face? @SoulterL', ""Yo, this tutorial and example was fire! I put it to the test and it worked like a charm. \n\nQuick question, though: can ai agents be made in Google Colab? That would be dope for tryin' stuff out."", 'Great video and thanks for the code sharing! Is it possible to stream the response returned? I enable stream=True but it still seems to just return a string rather than a generator object', ""Incredible, if it's fully free, because the api of openAI isn't free ☠️"", ""I ain't got time to watch this video now so I will be back later."", 'I am looking for Hugging face  vedio . Its my project i am newbie python learner thanks mate', 'in case , i want build app , and got high traffic , is it still working']"
kvJf8s18Vr4,"['I have GitHub student dev pack should I use this iam a student', ""What is the best way to learn deep learning fundamentals via implementation (let's say pick a trivial problem of build a recommendation system for movies) using pytorch in Aug 26, 2023?"", '2:33 ❤', 'Thanks', 'Would this also be comparable to google collab ?', 'Thanks a lot for the useful videos. However, could you please help me how we can clean and upload Mass spectrometry spectrum with python', 'Thanks alot for this. Now I don`t have to wait for applying concepts just because of computation issue.']"
Lxj4GfJCvxA,"['There are many things for which I will like to save formatted data as pandas dataframe. How do i save mito spreadsheet', 'Is there any realtime update functionality?']"
dBoQLktIkOo,"['Promo*SM', 'how do i get an API Key', 'why u make the shityy video', 'why is your voice like duffy duck man', 'will this cost money after time to run?', 'Hey, Will I have to get some permission to the model by filling out a form or can I just go register on their website and then I simply have the access??', 'Hello, 1 request on gpt 3.5 turbo cost is 0.0036$  , what is the cost of one resuest for replicate pls ?', ""Your video is amazing, and I'm grateful for your effort. Are you thinking of making a video about DemoGPT?"", 'Can you make a video or Github repo on how to integrate LLMs in iOS? \nThat will be of great help. Thank you!', ""Just a small doubt, so we don't need to download llama model and can run without downloading the model?""]"
UbXO5OB4Pdo,[]
31V0vi5nfbY,[]
udG_vytCp4o,"['hey! thanks for the video. I had just one question:\n\nwhat is the benefit of having the python script written as you make different edits? can you somehow use jupyter to automate that same script onto other csv files?', 'any good libraries out there that we could use to randomize/anonymize data in a data frame?  would love a video on that', 'These are good only if you use open dataset for fun. You cannot use chatgpt in real work.', ""I'd avoid chatgtp, by using its engine you're improving its AI and when that occurs on a massive scale you're creating a super AI with who knows what potential use. I'd rather use my own ability and out of the box thinking to reach solutions"", 'First']"
eU-zNCN774c,['Gracias.']
MD9aAMMyZCQ,"['Very good', 'Thanks a lot for your content! I usually watch it with my Saima Chrome extension and it is really great combination.', 'As a biochemist I have learned Python just because I was passionate about coding', 'Another king of content creation, I’m organic & drug design PhD holder looking for a postdoc or projects to work remotely. Could you help or collaborate ?', ""Thanks for the video. It's a great motivator to work harder on my pet projects for me!"", 'The video seems to be IA generated, great work btw', ""I completely agree that identifying a problem to solve can be a great motivator for learning mentioned by the author in this clip,\nand i like the x number of days challenge the author mentioned :) , it's exciting"", 'The content  is very useful \nTks a lot', 'Do you still Google, stack overflow, etc… now that chat GPT is available?', 'Can you tell me bioinformatics job in foreign for beginners for post graduate']"
n_3XDVOVraI,"['Thanks! I really like your content.', 'Hello, am watching']"
hrIayomatvE,"['1. Hackathon deadline\n     🗓May 5, 2023\n2. App-building criteria\n     💡Build Streamlit app that connects to Snowflake data OR \n     💡Build Streamlit app for work\n⭐Submit your Hackathon entry https://forms.streamlit.io/summit-hackathon', 'I am working on streamlit project which I have to convert  from streamlit project to pdf or static html page which needs to be automated using python , can you help me out to find resources for conversion inorder to send report to my client as a file format??', 'Thank you Data Professor !!', ""dam really nice ! \nGood luck to all the participants (for I think i'm too lazy to go yet hahaha)"", 'Thank']"
