video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,commentCount,duration,definition,caption,publishDayName,likeRatio,commentRatio,duration_sec,tagsCount,title_no_stopwords
pT3kE5hExGc,Data Professor,Streamlit LLM Hackathon,"If large language models and generative AI sounds interesting to you, then this video is for you! Briefly, I'll give you a quick overview of the Streamlit LLM Hackathon. 

In a nutshell, you'll build an LLM app using one or more of the following LLM technology from these partners:
- LangChain
- AssemblyAI
- Weaviate
- LlamaIndex
- Clarifai

👉 Go to the LLM Hackathon https://streamlit.io/community/llm-hackathon-2023?utm_campaign=2023-Q3%20LLM%20Hackathon&utm_medium=social&utm_source=youtube&utm_content=dataprofessor

Here's a quick summary:
📆 When? September 5-19, 2023
🎁 Prizes! Lots of cool swags and prizes!
🗺️ Where? Virtual Hackathon

_________________
Support my work:
👪 Join as Channel Member:
https://www.youtube.com/channel/UCV8e2g4IWQqK71bbzGDEI4Q/join
✉️ Newsletter http://newsletter.dataprofessor.org
📖 Join Medium to Read my Blogs https://data-professor.medium.com/membership
☕ Buy me a coffee https://www.buymeacoffee.com/dataprofessor

Recommended Resources
📚 Books https://kit.co/dataprofessor
😎 Taro (Tech Career Mentorship) https://www.jointaro.com/r/dataprofessor/
📜 Google Data Analytics Professional Certificate https://click.linksynergy.com/deeplink?id=PNeWWakF7rI&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Fprofessional-certificates%2Fgoogle-data-analytics
🤔 Interview Query https://www.interviewquery.com/?ref=dataprofessor
🖥️ Stock photos, graphics and videos used on this channel https://1.envato.market/c/2346717/628379/4662

Subscribe:
🌟 Coding Professor https://www.youtube.com/channel/UCJzlfIoF8nmWqJIv_iWQVRw?sub_confirmation=1
🌟 Data Professor https://www.youtube.com/dataprofessor?sub_confirmation=1

Disclaimer:
Recommended books and tools are affiliate links that gives me a portion of sales at no cost to you, which will contribute to the improvement of this channel's contents.

#datascience #machinelearning #dataprofessor",,2023-09-08 09:10:04+00:00,4206,93,12,PT3M27S,hd,false,Friday,22.111269614835948,2.8530670470756063,207,0,"['Streamlit', 'LLM', 'Hackathon']"
T_iE6TT7pS8,Data Professor,How to Use the Open-Source Hugging Chat API in Python,"In this video, you'll learn how to use the unofficial port of the open-source Hugging Chat API in Python (namely HugChat).

Currently the LLM model provided on Hugging Chat includes: meta-llama/Llama-2-70b-chat-hf and OpenAssistant/oasst-sft-6-llama-30b.

🐙 Code https://github.com/dataprofessor/hugchat
🤗 Hugging Chat https://huggingface.co/chat/
🐍 HugChat Python library https://pypi.org/project/hugchat/


Support my work:
👪 Join as Channel Member:
https://www.youtube.com/channel/UCV8e2g4IWQqK71bbzGDEI4Q/join
✉️ Newsletter http://newsletter.dataprofessor.org
📖 Join Medium to Read my Blogs https://data-professor.medium.com/membership
☕ Buy me a coffee https://www.buymeacoffee.com/dataprofessor

Recommended Resources
📚 Books https://kit.co/dataprofessor
😎 Taro (Tech Career Mentorship) https://www.jointaro.com/r/dataprofessor/
📜 Google Data Analytics Professional Certificate https://click.linksynergy.com/deeplink?id=PNeWWakF7rI&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Fprofessional-certificates%2Fgoogle-data-analytics
🤔 Interview Query https://www.interviewquery.com/?ref=dataprofessor
🖥️ Stock photos, graphics and videos used on this channel https://1.envato.market/c/2346717/628379/4662

Subscribe:
🌟 Coding Professor https://www.youtube.com/channel/UCJzlfIoF8nmWqJIv_iWQVRw?sub_confirmation=1
🌟 Data Professor https://www.youtube.com/dataprofessor?sub_confirmation=1

Disclaimer:
Recommended books and tools are affiliate links that gives me a portion of sales at no cost to you, which will contribute to the improvement of this channel's contents.

#datascience #machinelearning #dataprofessor","['huggingchat', 'hugging chat', 'hugging chat api', 'huggingchat api', 'huggingchat python', 'hugging chat python', 'hugging face chatbot', 'huggingchat chatbot', 'chatbot tutorial', 'chat api', 'python chat', 'python chat api', 'llm', 'large language model', 'chatgpt', 'chatgpt alternative', 'open source llm', 'open source chat', 'open source chatbot', 'python chatbot']",2023-08-28 05:05:38+00:00,2166,77,15,PT7M38S,hd,false,Monday,35.549399815327796,6.925207756232687,458,20,"['How', 'Use', 'Open-Source', 'Hugging', 'Chat', 'API', 'Python']"
kvJf8s18Vr4,Data Professor,How to use GitHub Codespaces for Coding and Data Science,"In this video, you'll learn how to use GitHub Codespaces for Coding and Data Science. We'll start from scratch by installing prerequisite libraries (scikit-learn and streamlit). Next, you'll build a simple machine learning model, create a plot as well as code a @streamlitofficial app, all right on @GitHub Codespaces.

Features of GitHub Codespaces https://github.com/features/codespaces


Support my work:
👪 Join as Channel Member:
https://www.youtube.com/channel/UCV8e2g4IWQqK71bbzGDEI4Q/join
✉️ Newsletter http://newsletter.dataprofessor.org
📖 Join Medium to Read my Blogs https://data-professor.medium.com/membership
☕ Buy me a coffee https://www.buymeacoffee.com/dataprofessor

Recommended Resources
📚 Books https://kit.co/dataprofessor
😎 Taro (Tech Career Mentorship) https://www.jointaro.com/r/dataprofessor/
📜 Google Data Analytics Professional Certificate https://click.linksynergy.com/deeplink?id=PNeWWakF7rI&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Fprofessional-certificates%2Fgoogle-data-analytics
🤔 Interview Query https://www.interviewquery.com/?ref=dataprofessor
🖥️ Stock photos, graphics and videos used on this channel https://1.envato.market/c/2346717/628379/4662

Subscribe:
🌟 Coding Professor https://www.youtube.com/channel/UCJzlfIoF8nmWqJIv_iWQVRw?sub_confirmation=1
🌟 Data Professor https://www.youtube.com/dataprofessor?sub_confirmation=1

Disclaimer:
Recommended books and tools are affiliate links that gives me a portion of sales at no cost to you, which will contribute to the improvement of this channel's contents.

#datascience #machinelearning #dataprofessor","['GitHub', 'GitHub Codespaces', 'GitHub tutorial', 'Streamlit', 'scikit-learn', 'scikit learn', 'Streamlit tutorial', 'machine learning', 'cloud computer', 'data science', 'data science tutorial', 'coding']",2023-08-21 01:00:30+00:00,3225,146,8,PT11M53S,hd,false,Monday,45.27131782945736,2.4806201550387597,713,12,"['How', 'use', 'GitHub', 'Codespaces', 'Coding', 'Data', 'Science']"
Lxj4GfJCvxA,Data Professor,Introducing the Mito Streamlit component,"In this video, Jake (co-founder of Mito, a Y Combinator backed startup company) gives us a quick overview and a short demo showing the new Mito Streamlit component in action.

👉 Watch this next - Podcast with Mito founders - https://www.youtube.com/watch?v=kzB9QLYdnC0
📖 Read this next - Blog on Mito as a powerful spreadsheet in Streamlit - https://blog.streamlit.io/data-analysis-with-mito-a-powerful-spreadsheet-in-streamlit/

🛠️ Mito Docs on Creating a Mito app using @streamlitofficial  https://bit.ly/3KBkexk
☁️ Deploy to Streamlit Community Cloud https://streamlit.io/cloud


Support my work:
👪 Join as Channel Member:
https://www.youtube.com/channel/UCV8e2g4IWQqK71bbzGDEI4Q/join
✉️ Newsletter http://newsletter.dataprofessor.org
📖 Join Medium to Read my Blogs https://data-professor.medium.com/membership
☕ Buy me a coffee https://www.buymeacoffee.com/dataprofessor

Recommended Resources
📚 Books https://kit.co/dataprofessor
😎 Taro (Tech Career Mentorship) https://www.jointaro.com/r/dataprofessor/
📜 Google Data Analytics Professional Certificate https://click.linksynergy.com/deeplink?id=PNeWWakF7rI&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Fprofessional-certificates%2Fgoogle-data-analytics
🤔 Interview Query https://www.interviewquery.com/?ref=dataprofessor
🖥️ Stock photos, graphics and videos used on this channel https://1.envato.market/c/2346717/628379/4662

Subscribe:
🌟 Coding Professor https://www.youtube.com/channel/UCJzlfIoF8nmWqJIv_iWQVRw?sub_confirmation=1
🌟 Data Professor https://www.youtube.com/dataprofessor?sub_confirmation=1

Disclaimer:
Recommended books and tools are affiliate links that gives me a portion of sales at no cost to you, which will contribute to the improvement of this channel's contents.

#datascience #machinelearning #dataprofessor","['mito', 'streamlit component', 'mito streamlit component', 'mito streamlit', 'streamlit mito', 'mito python', 'mito tutorial', 'streamlit', 'streamlit app', 'excel python', 'python excel', 'python spreadsheet', 'python spreadsheets', 'data science', 'data science python', 'python data science', 'data python', 'python data', 'streamlit data science', 'streamlit data', 'data app', 'data apps']",2023-08-14 07:29:14+00:00,1133,37,4,PT4M32S,hd,false,Monday,32.65666372462489,3.53045013239188,272,22,"['Introducing', 'Mito', 'Streamlit', 'component']"
dBoQLktIkOo,Data Professor,How to use the Llama 2 LLM in Python,"In this video, you'll learn how to use the Llama 2 in Python. Llama 2 is an open source large language model created by Meta AI . The LLM model used in this tutorial is hosted on the Replicate platform.

⭐️ Watch this video on how to build a Llama 2 chatbot app using @streamlitofficial https://youtu.be/J8TgKxomS2g

📒 Jupyter notebook https://github.com/dataprofessor/llama2
🛠️ Tutorial blog on building the Llama 2 chatbot https://blog.streamlit.io/how-to-build-a-llama-2-chatbot/
🔗 Llama 2 release note https://ai.meta.com/llama/
🦙 Llama 2 model (7B) on Replicate https://replicate.com/a16z-infra/llama-2-7b-chat
🦙 Llama 2 model (13B) on Replicate https://replicate.com/a16z-infra/llama-2-13b-chat
🦙 Llama 2 model (70B) on Replicate https://replicate.com/replicate/llama-2-70b-chat


Support my work:
👪 Join as Channel Member:
https://www.youtube.com/channel/UCV8e2g4IWQqK71bbzGDEI4Q/join
✉️ Newsletter http://newsletter.dataprofessor.org
📖 Join Medium to Read my Blogs https://data-professor.medium.com/membership
☕ Buy me a coffee https://www.buymeacoffee.com/dataprofessor

Recommended Resources
📚 Books https://kit.co/dataprofessor
😎 Taro (Tech Career Mentorship) https://www.jointaro.com/r/dataprofessor/
📜 Google Data Analytics Professional Certificate https://click.linksynergy.com/deeplink?id=PNeWWakF7rI&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Fprofessional-certificates%2Fgoogle-data-analytics
🤔 Interview Query https://www.interviewquery.com/?ref=dataprofessor
🖥️ Stock photos, graphics and videos used on this channel https://1.envato.market/c/2346717/628379/4662

Subscribe:
🌟 Coding Professor https://www.youtube.com/channel/UCJzlfIoF8nmWqJIv_iWQVRw?sub_confirmation=1
🌟 Data Professor https://www.youtube.com/dataprofessor?sub_confirmation=1

Disclaimer:
Recommended books and tools are affiliate links that gives me a portion of sales at no cost to you, which will contribute to the improvement of this channel's contents.

#datascience #machinelearning #dataprofessor",,2023-08-01 03:23:49+00:00,26753,372,23,PT4M51S,hd,false,Tuesday,13.904982618771726,0.8597166672896498,291,0,"['How', 'use', 'Llama', '2', 'LLM', 'Python']"
UbXO5OB4Pdo,Data Professor,Choosing a Programming Language to Learn!,"In this video, I talk about the important topic of choosing a programming language to learn!

👉 Watch the full video https://youtu.be/MD9aAMMyZCQ

----------
Support my work:
👪 Join as Channel Member:
https://www.youtube.com/channel/UCV8e2g4IWQqK71bbzGDEI4Q/join
✉️ Newsletter http://newsletter.dataprofessor.org
📖 Join Medium to Read my Blogs https://data-professor.medium.com/membership
☕ Buy me a coffee https://www.buymeacoffee.com/dataprofessor

Recommended Resources
📚 Books https://kit.co/dataprofessor
😎 Taro (Tech Career Mentorship) https://www.jointaro.com/r/dataprofessor/
📜 Google Data Analytics Professional Certificate https://click.linksynergy.com/deeplink?id=PNeWWakF7rI&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Fprofessional-certificates%2Fgoogle-data-analytics
🤔 Interview Query https://www.interviewquery.com/?ref=dataprofessor
🖥️ Stock photos, graphics and videos used on this channel https://1.envato.market/c/2346717/628379/4662

Subscribe:
🌟 Coding Professor https://www.youtube.com/channel/UCJzlfIoF8nmWqJIv_iWQVRw?sub_confirmation=1
🌟 Data Professor https://www.youtube.com/dataprofessor?sub_confirmation=1

Disclaimer:
Recommended books and tools are affiliate links that gives me a portion of sales at no cost to you, which will contribute to the improvement of this channel's contents.

#datascience #machinelearning #dataprofessor","['learn to code', 'learn python', 'learn coding', 'freecodecamp python', 'python tutorial', 'python 101', 'learn code', 'how to learn python for beginners', 'how i would learn to code if i was to start over', 'how i would learn to code (if i could start over)', 'learning python', 'learning coding', 'learning code', 'learn python from scratch', 'python from scratch', 'python', 'how to learn python', 'r versus python', 'r vs python', 'choose a programming language']",2023-06-21 02:00:08+00:00,1387,60,0,PT49S,hd,false,Wednesday,43.25883201153569,0.0,49,20,"['Choosing', 'Programming', 'Language', 'Learn!']"
31V0vi5nfbY,Data Professor,Identifying the PROBLEM to solve when learning to CODE,"In this YouTube shorts, I share with you tips for learning to code by FIRST identifying the PROBLEM to solve.

👉 Watch the full video https://youtu.be/MD9aAMMyZCQ


Support my work:
👪 Join as Channel Member:
https://www.youtube.com/channel/UCV8e2g4IWQqK71bbzGDEI4Q/join
✉️ Newsletter http://newsletter.dataprofessor.org
📖 Join Medium to Read my Blogs https://data-professor.medium.com/membership
☕ Buy me a coffee https://www.buymeacoffee.com/dataprofessor

Recommended Resources
📚 Books https://kit.co/dataprofessor
😎 Taro (Tech Career Mentorship) https://www.jointaro.com/r/dataprofessor/
📜 Google Data Analytics Professional Certificate https://click.linksynergy.com/deeplink?id=PNeWWakF7rI&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Fprofessional-certificates%2Fgoogle-data-analytics
🤔 Interview Query https://www.interviewquery.com/?ref=dataprofessor
🖥️ Stock photos, graphics and videos used on this channel https://1.envato.market/c/2346717/628379/4662

Subscribe:
🌟 Coding Professor https://www.youtube.com/channel/UCJzlfIoF8nmWqJIv_iWQVRw?sub_confirmation=1
🌟 Data Professor https://www.youtube.com/dataprofessor?sub_confirmation=1

Disclaimer:
Recommended books and tools are affiliate links that gives me a portion of sales at no cost to you, which will contribute to the improvement of this channel's contents.

#datascience #machinelearning #dataprofessor",,2023-06-14 02:00:02+00:00,1153,44,0,PT59S,hd,false,Wednesday,38.161318300086734,0.0,59,0,"['Identifying', 'PROBLEM', 'solve', 'learning', 'CODE']"
udG_vytCp4o,Data Professor,How to unleash the power of ChatGPT on your Pandas Dataframes with Mito AI,"Mito is a spreadsheet interface for Python. You can call Mito into your Python environment and each edit made in the interface will generate the equivalent Python in the code cell below. 

In this video, Jake introduces Mito AI where users can access ChatGPT from inside their Python environment. The user can have Mito AI complete tasks or answer questions with the data, and each edit will be reflected in the Mito interface, as well as generate the equivalent Python code. Mito AI allows the user to generate code with an LLM, and validate that the LLM was correct by seeing their data change in the spreadsheet in real time. Mito will highlight all the changes that the LLM makes, so the user can easily validate them. 

👉 Mito AI Product Hunt Page https://www.producthunt.com/posts/mito-ai
📖 Read more about Mito AI https://docs.trymito.io/how-to/mito-ai
⚙️ Mito install instructions https://docs.trymito.io/getting-started/installing-mito

Note: This is not a sponsored video.


Support my work:
👪 Join as Channel Member:
https://www.youtube.com/channel/UCV8e2g4IWQqK71bbzGDEI4Q/join
✉️ Newsletter http://newsletter.dataprofessor.org
📖 Join Medium to Read my Blogs https://data-professor.medium.com/membership
☕ Buy me a coffee https://www.buymeacoffee.com/dataprofessor

Recommended Resources
📚 Books https://kit.co/dataprofessor
😎 Taro (Tech Career Mentorship) https://www.jointaro.com/r/dataprofessor/
📜 Google Data Analytics Professional Certificate https://click.linksynergy.com/deeplink?id=PNeWWakF7rI&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Fprofessional-certificates%2Fgoogle-data-analytics
🤔 Interview Query https://www.interviewquery.com/?ref=dataprofessor
🖥️ Stock photos, graphics and videos used on this channel https://1.envato.market/c/2346717/628379/4662

Subscribe:
🌟 Coding Professor https://www.youtube.com/channel/UCJzlfIoF8nmWqJIv_iWQVRw?sub_confirmation=1
🌟 Data Professor https://www.youtube.com/dataprofessor?sub_confirmation=1

Disclaimer:
Recommended books and tools are affiliate links that gives me a portion of sales at no cost to you, which will contribute to the improvement of this channel's contents.

#datascience #machinelearning #dataprofessor","['mito', 'mito AI', 'AI mito', 'mito LLM', 'data analysis', 'data analysis AI', 'data analysis LLM', 'AI for data analysis', 'spreadsheet', 'spreadsheets', 'spreadsheet AI', 'spreadsheet LLM', 'dataframe', 'dataframes', 'dataframe AI', 'dataframe LLM', 'mito tutorial', 'python', 'python data analysis', 'data analysis python', 'chatgpt data analysis', 'data analysis chatgpt', 'data analysis gpt', 'gpt data analysis']",2023-06-09 14:00:44+00:00,3141,87,19,PT1M57S,hd,false,Friday,27.6981852913085,6.0490289716650745,117,24,"['How', 'unleash', 'power', 'ChatGPT', 'Pandas', 'Dataframes', 'Mito', 'AI']"
eU-zNCN774c,Data Professor,How I would learn Python,"Learning to code has opened up several doors of opportunities for me: allowing me to start this YouTube channel and transition into Tech. In this video, I share my tips for learning Python if I was to start over.

👉 Watch the full version of this video https://youtu.be/MD9aAMMyZCQ

**********
Support my work:
👪 Join as Channel Member:
https://www.youtube.com/channel/UCV8e2g4IWQqK71bbzGDEI4Q/join
✉️ Newsletter http://newsletter.dataprofessor.org
📖 Join Medium to Read my Blogs https://data-professor.medium.com/membership
☕ Buy me a coffee https://www.buymeacoffee.com/dataprofessor

Recommended Resources
📚 Books https://kit.co/dataprofessor
😎 Taro (Tech Career Mentorship) https://www.jointaro.com/r/dataprofessor/
📜 Google Data Analytics Professional Certificate https://click.linksynergy.com/deeplink?id=PNeWWakF7rI&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Fprofessional-certificates%2Fgoogle-data-analytics
🤔 Interview Query https://www.interviewquery.com/?ref=dataprofessor
🖥️ Stock photos, graphics and videos used on this channel https://1.envato.market/c/2346717/628379/4662

Subscribe:
🌟 Coding Professor https://www.youtube.com/channel/UCJzlfIoF8nmWqJIv_iWQVRw?sub_confirmation=1
🌟 Data Professor https://www.youtube.com/dataprofessor?sub_confirmation=1

Disclaimer:
Recommended books and tools are affiliate links that gives me a portion of sales at no cost to you, which will contribute to the improvement of this channel's contents.

#datascience #machinelearning #dataprofessor","['learn to code', 'learn python', 'learn coding', 'freecodecamp python', 'python tutorial', 'python 101', 'learn code', 'how to learn python for beginners', 'how i would learn to code if i was to start over', 'how i would learn to code (if i could start over)', 'learning python', 'learning coding', 'learning code', 'learn python from scratch', 'python from scratch', 'python', 'how to learn python']",2023-06-05 08:54:29+00:00,2377,110,1,PT49S,hd,false,Monday,46.27681952040387,0.4206983592763988,49,17,"['How', 'I', 'would', 'learn', 'Python']"
MD9aAMMyZCQ,Data Professor,How I would learn Python,"Learning to code has opened up several doors of opportunities for me: allowing me to start this YouTube channel and transition into Tech. In this video, I share my tips for learning Python if I was to start over.

Timeline
0:00 Introduction
0:32 Step 1 Identifying the problem
2:28 Step 2 Choose a programming language
3:25 Step 3 Build projects
5:26 Step 4 Tools of the trade
9:35 Bonus 1 - Books
10:52 Bonus 2 - Getting unstuck
12:00 Bonus 3 - Content creation
12:58 Bonus 4 - Networking & Building in public
14:30 Bonus 5 - Repeat
15:17 Conclusion

👉 ChatGPT playlist https://www.youtube.com/watch?v=Nj_zUMVuRUg&list=PLtqF5YXg7GLk696DOK7hpj6AGkYdWAPSE
👉 Streamlit playlist https://www.youtube.com/watch?v=ZZ4B0QUHuNc&list=PLtqF5YXg7GLmCvTswG32NqQypOuYkPRUE

📚 Books mentioned in video
9:49 https://amzn.to/3BmjEhZ
9:54 https://amzn.to/41xrIHi
10:00 https://amzn.to/41u4SAg
10:05 https://amzn.to/3M5lV63
10:13 https://amzn.to/44WIItc

Support my work:
👪 Join as Channel Member:
https://www.youtube.com/channel/UCV8e2g4IWQqK71bbzGDEI4Q/join
✉️ Newsletter http://newsletter.dataprofessor.org
📖 Join Medium to Read my Blogs https://data-professor.medium.com/membership
☕ Buy me a coffee https://www.buymeacoffee.com/dataprofessor

Recommended Resources
📚 Books https://kit.co/dataprofessor
😎 Taro (Tech Career Mentorship) https://www.jointaro.com/r/dataprofessor/
📜 Google Data Analytics Professional Certificate https://click.linksynergy.com/deeplink?id=PNeWWakF7rI&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Fprofessional-certificates%2Fgoogle-data-analytics
🤔 Interview Query https://www.interviewquery.com/?ref=dataprofessor
🖥️ Stock photos, graphics and videos used on this channel https://1.envato.market/c/2346717/628379/4662

Subscribe:
🌟 Coding Professor https://www.youtube.com/channel/UCJzlfIoF8nmWqJIv_iWQVRw?sub_confirmation=1
🌟 Data Professor https://www.youtube.com/dataprofessor?sub_confirmation=1

Disclaimer:
Recommended books and tools are affiliate links that gives me a portion of sales at no cost to you, which will contribute to the improvement of this channel's contents.

#datascience #machinelearning #dataprofessor","['learn to code', 'learn python', 'learn coding', 'freecodecamp python', 'python tutorial', 'python 101', 'learn code', 'how to learn python for beginners', 'how i would learn to code if i was to start over', 'how i would learn to code (if i could start over)', 'learning python', 'learning coding', 'learning code', 'learn python from scratch', 'python from scratch', 'python', 'how to learn python']",2023-05-13 16:48:08+00:00,7167,231,16,PT15M37S,hd,true,Saturday,32.23105902051068,2.2324543044509557,937,17,"['How', 'I', 'would', 'learn', 'Python']"
